Networks 0 10 1000 null
73 16 false null null
16 68 false null null
14 75 false null null
7 48 false null null
27 55 false null null
57 12 false null null
40 97 false null null
81 69 false null null
8 44 false null null
57 99 false null null
61 20 false null null
80 17 false null null
84 29 false null null
54 72 false null null
82 25 false null null
11 7 false null null
52 19 false null null
95 70 false null null
5 3 false null null
14 48 false null null
12 49 false null null
42 60 false null null
58 8 false null null
7 49 false null null
70 51 false null null
91 4 false null null
24 39 false null null
30 73 false null null
89 85 false null null
69 50 false null null
73 49 false null null
5 97 false null null
34 95 false null null
55 33 false null null
42 99 false null null
12 40 false null null
64 33 false null null
19 98 false null null
55 0 false null null
66 44 false null null
27 96 false null null
61 26 false null null
33 67 false null null
4 98 false null null
51 6 false null null
14 17 false null null
25 70 false null null
73 15 false null null
40 55 false null null
89 84 false null null
2 10 false null null
37 4 false null null
99 77 false null null
98 12 false null null
85 45 false null null
29 22 false null null
EndNetwork
Network 1 100 200 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:20.0 [4, 7, 10, 22, 17, 17, 14, 5, 2, 1, 1]
Nodes
100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 
121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 
141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 
161 162 163 164 165 166 167 168 169 170 171 172 173 174 175 176 177 178 179 180 
181 182 183 184 185 186 187 188 189 190 191 192 193 194 195 196 197 198 199 
Links
158 162 false null null
147 130 false null null
131 121 false null null
139 117 false null null
140 113 false null null
170 149 false null null
106 126 false null null
181 110 false null null
138 192 false null null
183 194 false null null
154 167 false null null
148 138 false null null
128 105 false null null
187 193 false null null
100 190 false null null
105 138 false null null
194 139 false null null
177 148 false null null
192 134 false null null
162 177 false null null
130 148 false null null
163 127 false null null
176 143 false null null
128 125 false null null
164 196 false null null
143 128 false null null
199 123 false null null
146 187 false null null
186 168 false null null
165 199 false null null
112 182 false null null
110 173 false null null
194 177 false null null
112 196 false null null
138 153 false null null
198 111 false null null
125 190 false null null
160 153 false null null
109 101 false null null
113 136 false null null
110 122 false null null
175 193 false null null
171 152 false null null
157 136 false null null
161 178 false null null
120 115 false null null
102 143 false null null
184 195 false null null
131 195 false null null
113 132 false null null
132 181 false null null
129 198 false null null
141 164 false null null
143 136 false null null
165 102 false null null
139 116 false null null
114 161 false null null
151 110 false null null
192 119 false null null
175 179 false null null
187 123 false null null
177 152 false null null
134 150 false null null
160 148 false null null
113 163 false null null
140 110 false null null
189 148 false null null
142 121 false null null
148 127 false null null
129 117 false null null
177 125 false null null
178 100 false null null
144 183 false null null
167 109 false null null
148 140 false null null
115 179 false null null
166 138 false null null
105 111 false null null
153 171 false null null
193 109 false null null
125 142 false null null
176 161 false null null
137 117 false null null
129 174 false null null
123 176 false null null
183 134 false null null
131 135 false null null
187 173 false null null
193 176 false null null
175 167 false null null
182 190 false null null
151 122 false null null
181 120 false null null
198 122 false null null
165 190 false null null
167 152 false null null
140 162 false null null
187 137 false null null
108 190 false null null
107 181 false null null
127 190 false null null
130 189 false null null
174 161 false null null
101 146 false null null
158 106 false null null
145 186 false null null
160 189 false null null
120 190 false null null
130 168 false null null
187 109 false null null
109 148 false null null
191 185 false null null
176 189 false null null
115 139 false null null
157 172 false null null
158 145 false null null
155 171 false null null
156 137 false null null
196 160 false null null
178 149 false null null
126 154 false null null
104 127 false null null
130 174 false null null
105 145 false null null
157 156 false null null
109 147 false null null
191 111 false null null
120 179 false null null
113 177 false null null
133 191 false null null
120 108 false null null
131 182 false null null
155 141 false null null
175 149 false null null
117 143 false null null
121 193 false null null
115 184 false null null
166 180 false null null
114 149 false null null
191 194 false null null
146 163 false null null
188 157 false null null
104 119 false null null
147 149 false null null
139 131 false null null
121 128 false null null
139 111 false null null
103 137 false null null
142 111 false null null
149 128 false null null
156 134 false null null
147 143 false null null
119 115 false null null
160 150 false null null
128 176 false null null
114 142 false null null
148 179 false null null
154 143 false null null
123 162 false null null
139 125 false null null
123 159 false null null
158 142 false null null
133 189 false null null
192 151 false null null
113 198 false null null
132 135 false null null
108 158 false null null
198 115 false null null
129 194 false null null
156 159 false null null
164 160 false null null
117 121 false null null
196 192 false null null
132 167 false null null
131 165 false null null
156 190 false null null
151 196 false null null
177 141 false null null
133 114 false null null
158 186 false null null
190 146 false null null
171 141 false null null
155 143 false null null
107 150 false null null
102 192 false null null
146 179 false null null
104 190 false null null
154 138 false null null
177 117 false null null
147 175 false null null
125 150 false null null
135 121 false null null
100 131 false null null
167 115 false null null
141 104 false null null
173 117 false null null
160 188 false null null
105 150 false null null
105 106 false null null
146 168 false null null
EndNetwork
Network 2 100 200 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:20.82 [5, 6, 13, 21, 21, 8, 11, 10, 3, 0, 1, 1]
Nodes
200 201 202 203 204 205 206 207 208 209 210 211 212 213 214 215 216 217 218 219 220 
221 222 223 224 225 226 227 228 229 230 231 232 233 234 235 236 237 238 239 240 
241 242 243 244 245 246 247 248 249 250 251 252 253 254 255 256 257 258 259 260 
261 262 263 264 265 266 267 268 269 270 271 272 273 274 275 276 277 278 279 280 
281 282 283 284 285 286 287 288 289 290 291 292 293 294 295 296 297 298 299 
Links
225 294 false null null
268 244 false null null
236 275 false null null
203 260 false null null
277 269 false null null
251 249 false null null
242 279 false null null
204 228 false null null
296 236 false null null
237 214 false null null
289 226 false null null
228 241 false null null
240 208 false null null
208 246 false null null
276 233 false null null
254 292 false null null
238 284 false null null
251 275 false null null
293 212 false null null
221 252 false null null
239 248 false null null
205 289 false null null
213 277 false null null
227 294 false null null
261 211 false null null
297 254 false null null
247 239 false null null
212 207 false null null
272 279 false null null
264 210 false null null
288 211 false null null
222 298 false null null
280 228 false null null
282 252 false null null
279 227 false null null
233 279 false null null
266 210 false null null
217 279 false null null
239 215 false null null
290 286 false null null
286 289 false null null
274 293 false null null
275 287 false null null
275 252 false null null
219 222 false null null
256 252 false null null
227 252 false null null
285 242 false null null
220 283 false null null
207 279 false null null
211 202 false null null
212 205 false null null
228 251 false null null
241 210 false null null
276 255 false null null
208 299 false null null
241 296 false null null
282 232 false null null
216 239 false null null
245 285 false null null
283 287 false null null
294 290 false null null
235 283 false null null
275 214 false null null
278 285 false null null
212 254 false null null
241 262 false null null
244 225 false null null
240 257 false null null
270 207 false null null
211 236 false null null
270 201 false null null
217 273 false null null
274 286 false null null
277 256 false null null
259 274 false null null
276 246 false null null
209 276 false null null
261 260 false null null
274 242 false null null
293 243 false null null
239 259 false null null
282 290 false null null
228 249 false null null
200 260 false null null
225 215 false null null
208 219 false null null
290 200 false null null
200 230 false null null
208 237 false null null
222 208 false null null
295 299 false null null
209 228 false null null
240 229 false null null
295 269 false null null
219 233 false null null
284 202 false null null
224 207 false null null
283 206 false null null
201 221 false null null
273 249 false null null
266 259 false null null
284 225 false null null
209 214 false null null
296 294 false null null
216 283 false null null
245 288 false null null
222 228 false null null
257 243 false null null
222 269 false null null
204 283 false null null
241 278 false null null
215 268 false null null
291 236 false null null
236 254 false null null
215 247 false null null
244 283 false null null
219 225 false null null
217 210 false null null
246 288 false null null
252 267 false null null
241 272 false null null
296 226 false null null
255 270 false null null
274 202 false null null
297 201 false null null
237 257 false null null
250 214 false null null
202 231 false null null
240 253 false null null
269 262 false null null
208 298 false null null
289 282 false null null
205 211 false null null
209 221 false null null
293 260 false null null
210 297 false null null
294 286 false null null
294 267 false null null
207 280 false null null
252 241 false null null
229 214 false null null
298 215 false null null
287 207 false null null
255 252 false null null
252 251 false null null
270 213 false null null
229 295 false null null
220 251 false null null
280 278 false null null
278 267 false null null
269 208 false null null
268 289 false null null
222 215 false null null
246 296 false null null
231 299 false null null
232 252 false null null
277 255 false null null
266 291 false null null
243 295 false null null
294 288 false null null
254 264 false null null
243 275 false null null
287 296 false null null
209 270 false null null
245 247 false null null
201 220 false null null
275 286 false null null
244 267 false null null
267 214 false null null
268 261 false null null
245 259 false null null
238 218 false null null
211 277 false null null
281 202 false null null
228 278 false null null
287 265 false null null
269 224 false null null
269 284 false null null
277 228 false null null
252 212 false null null
210 240 false null null
239 200 false null null
278 237 false null null
202 232 false null null
247 222 false null null
228 218 false null null
262 213 false null null
230 207 false null null
209 210 false null null
248 219 false null null
251 287 false null null
239 273 false null null
209 227 false null null
238 212 false null null
202 273 false null null
235 267 false null null
226 269 false null null
239 281 false null null
296 219 false null null
EndNetwork
Network 3 100 200 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:20.04 [3, 7, 12, 20, 26, 9, 8, 8, 7]
Nodes
300 301 302 303 304 305 306 307 308 309 310 311 312 313 314 315 316 317 318 319 320 
321 322 323 324 325 326 327 328 329 330 331 332 333 334 335 336 337 338 339 340 
341 342 343 344 345 346 347 348 349 350 351 352 353 354 355 356 357 358 359 360 
361 362 363 364 365 366 367 368 369 370 371 372 373 374 375 376 377 378 379 380 
381 382 383 384 385 386 387 388 389 390 391 392 393 394 395 396 397 398 399 
Links
371 398 false null null
374 385 false null null
336 314 false null null
384 391 false null null
368 303 false null null
319 301 false null null
338 321 false null null
344 398 false null null
364 398 false null null
382 301 false null null
307 390 false null null
336 317 false null null
388 379 false null null
353 381 false null null
305 315 false null null
313 324 false null null
337 341 false null null
348 310 false null null
302 301 false null null
394 321 false null null
394 356 false null null
365 355 false null null
314 343 false null null
356 363 false null null
327 364 false null null
338 370 false null null
321 382 false null null
361 339 false null null
375 358 false null null
307 353 false null null
347 369 false null null
303 346 false null null
328 383 false null null
306 381 false null null
340 376 false null null
319 394 false null null
327 357 false null null
392 350 false null null
387 327 false null null
387 396 false null null
327 372 false null null
382 313 false null null
389 342 false null null
383 354 false null null
313 331 false null null
350 321 false null null
318 372 false null null
368 363 false null null
358 317 false null null
313 304 false null null
399 376 false null null
326 391 false null null
398 323 false null null
345 305 false null null
336 393 false null null
333 390 false null null
345 365 false null null
320 315 false null null
383 322 false null null
326 330 false null null
389 308 false null null
390 371 false null null
312 380 false null null
321 327 false null null
350 380 false null null
300 391 false null null
342 333 false null null
330 396 false null null
365 320 false null null
341 353 false null null
312 324 false null null
320 328 false null null
316 368 false null null
343 348 false null null
308 375 false null null
300 334 false null null
323 371 false null null
330 321 false null null
321 363 false null null
387 367 false null null
340 348 false null null
384 327 false null null
308 301 false null null
391 304 false null null
316 337 false null null
354 394 false null null
301 306 false null null
335 373 false null null
312 394 false null null
397 376 false null null
306 318 false null null
314 328 false null null
306 332 false null null
306 386 false null null
379 380 false null null
342 381 false null null
392 344 false null null
396 355 false null null
385 390 false null null
396 306 false null null
325 318 false null null
320 356 false null null
370 393 false null null
301 396 false null null
343 394 false null null
373 303 false null null
374 396 false null null
332 317 false null null
341 312 false null null
325 365 false null null
328 331 false null null
322 305 false null null
343 309 false null null
378 306 false null null
390 357 false null null
307 385 false null null
304 341 false null null
322 385 false null null
398 312 false null null
391 393 false null null
326 392 false null null
370 351 false null null
317 356 false null null
365 304 false null null
305 316 false null null
346 359 false null null
381 354 false null null
350 322 false null null
307 366 false null null
354 373 false null null
347 308 false null null
381 332 false null null
350 360 false null null
353 386 false null null
387 353 false null null
382 326 false null null
381 374 false null null
312 344 false null null
321 328 false null null
396 370 false null null
367 384 false null null
324 350 false null null
311 317 false null null
307 315 false null null
333 312 false null null
301 355 false null null
320 346 false null null
360 313 false null null
378 372 false null null
338 313 false null null
340 329 false null null
317 300 false null null
369 310 false null null
380 339 false null null
307 376 false null null
354 307 false null null
329 391 false null null
386 327 false null null
358 346 false null null
366 386 false null null
392 335 false null null
365 370 false null null
314 312 false null null
399 333 false null null
320 352 false null null
365 379 false null null
303 398 false null null
371 375 false null null
360 317 false null null
372 359 false null null
358 350 false null null
390 316 false null null
341 384 false null null
365 308 false null null
300 345 false null null
350 378 false null null
339 379 false null null
342 384 false null null
343 362 false null null
366 343 false null null
343 388 false null null
391 333 false null null
364 347 false null null
334 366 false null null
370 353 false null null
354 362 false null null
328 390 false null null
315 374 false null null
325 398 false null null
381 314 false null null
399 388 false null null
339 319 false null null
356 344 false null null
376 345 false null null
327 385 false null null
387 343 false null null
373 369 false null null
307 384 false null null
388 348 false null null
348 325 false null null
EndNetwork
Network 4 100 200 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.0 avgK2:19.48 [0, 6, 18, 18, 23, 15, 12, 2, 3, 3]
Nodes
400 401 402 403 404 405 406 407 408 409 410 411 412 413 414 415 416 417 418 419 420 
421 422 423 424 425 426 427 428 429 430 431 432 433 434 435 436 437 438 439 440 
441 442 443 444 445 446 447 448 449 450 451 452 453 454 455 456 457 458 459 460 
461 462 463 464 465 466 467 468 469 470 471 472 473 474 475 476 477 478 479 480 
481 482 483 484 485 486 487 488 489 490 491 492 493 494 495 496 497 498 499 
Links
446 403 false null null
477 401 false null null
469 464 false null null
447 428 false null null
465 481 false null null
409 463 false null null
402 450 false null null
420 498 false null null
421 413 false null null
480 409 false null null
401 407 false null null
493 480 false null null
406 419 false null null
415 492 false null null
488 441 false null null
496 466 false null null
441 469 false null null
421 464 false null null
424 442 false null null
484 405 false null null
436 440 false null null
482 441 false null null
447 491 false null null
456 499 false null null
457 464 false null null
428 488 false null null
487 466 false null null
404 450 false null null
452 447 false null null
454 404 false null null
468 476 false null null
438 454 false null null
417 480 false null null
419 482 false null null
496 458 false null null
445 432 false null null
421 434 false null null
400 441 false null null
413 494 false null null
439 436 false null null
414 480 false null null
471 465 false null null
482 435 false null null
458 409 false null null
458 463 false null null
426 434 false null null
413 449 false null null
462 473 false null null
421 419 false null null
479 405 false null null
403 410 false null null
465 495 false null null
487 477 false null null
434 485 false null null
449 452 false null null
452 412 false null null
424 407 false null null
490 488 false null null
407 405 false null null
450 429 false null null
453 451 false null null
485 470 false null null
453 443 false null null
467 466 false null null
457 470 false null null
489 437 false null null
497 441 false null null
406 411 false null null
425 476 false null null
462 463 false null null
462 477 false null null
495 446 false null null
470 486 false null null
463 456 false null null
427 440 false null null
421 411 false null null
464 455 false null null
416 421 false null null
445 441 false null null
440 418 false null null
487 442 false null null
489 472 false null null
451 470 false null null
434 487 false null null
472 407 false null null
494 422 false null null
457 411 false null null
425 463 false null null
484 463 false null null
483 430 false null null
458 495 false null null
470 491 false null null
459 406 false null null
486 427 false null null
418 460 false null null
423 498 false null null
405 408 false null null
423 462 false null null
401 493 false null null
466 403 false null null
437 405 false null null
485 497 false null null
497 494 false null null
447 499 false null null
466 490 false null null
426 474 false null null
485 425 false null null
443 470 false null null
415 409 false null null
487 472 false null null
488 401 false null null
497 427 false null null
455 469 false null null
438 490 false null null
414 410 false null null
440 437 false null null
456 487 false null null
424 430 false null null
428 467 false null null
408 410 false null null
457 472 false null null
495 417 false null null
408 495 false null null
453 423 false null null
484 474 false null null
493 418 false null null
466 436 false null null
425 482 false null null
433 474 false null null
409 436 false null null
416 462 false null null
416 483 false null null
483 438 false null null
424 461 false null null
492 412 false null null
469 428 false null null
415 487 false null null
487 490 false null null
449 473 false null null
405 477 false null null
434 453 false null null
403 408 false null null
434 475 false null null
449 459 false null null
476 491 false null null
435 421 false null null
473 495 false null null
431 426 false null null
495 425 false null null
426 441 false null null
448 422 false null null
470 477 false null null
453 466 false null null
433 489 false null null
453 410 false null null
403 495 false null null
440 484 false null null
491 477 false null null
406 442 false null null
480 422 false null null
478 466 false null null
494 419 false null null
423 473 false null null
471 437 false null null
412 428 false null null
444 407 false null null
495 488 false null null
455 436 false null null
467 484 false null null
455 454 false null null
441 402 false null null
418 456 false null null
459 441 false null null
439 400 false null null
436 402 false null null
414 465 false null null
415 447 false null null
493 490 false null null
443 421 false null null
493 423 false null null
411 492 false null null
449 496 false null null
423 403 false null null
498 472 false null null
493 479 false null null
469 439 false null null
478 408 false null null
483 407 false null null
444 448 false null null
473 460 false null null
473 400 false null null
466 423 false null null
484 426 false null null
458 457 false null null
492 422 false null null
454 470 false null null
463 497 false null null
467 481 false null null
497 461 false null null
469 427 false null null
EndNetwork
Network 5 100 214 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.28 avgK2:21.26 [0, 0, 0, 47, 22, 12, 7, 5, 3, 2, 2]
Nodes
500 501 502 503 504 505 506 507 508 509 510 511 512 513 514 515 516 517 518 519 520 
521 522 523 524 525 526 527 528 529 530 531 532 533 534 535 536 537 538 539 540 
541 542 543 544 545 546 547 548 549 550 551 552 553 554 555 556 557 558 559 560 
561 562 563 564 565 566 567 568 569 570 571 572 573 574 575 576 577 578 579 580 
581 582 583 584 585 586 587 588 589 590 591 592 593 594 595 596 597 598 599 
Links
584 521 false null null
572 597 false null null
511 564 false null null
502 551 false null null
599 553 false null null
521 520 false null null
574 533 false null null
593 583 false null null
589 599 false null null
529 561 false null null
581 595 false null null
510 548 false null null
585 592 false null null
584 522 false null null
590 536 false null null
567 559 false null null
574 590 false null null
568 593 false null null
575 526 false null null
560 572 false null null
524 529 false null null
575 594 false null null
596 595 false null null
525 535 false null null
599 542 false null null
585 595 false null null
570 582 false null null
548 513 false null null
571 564 false null null
576 501 false null null
539 504 false null null
536 567 false null null
577 582 false null null
551 589 false null null
561 594 false null null
555 535 false null null
553 566 false null null
527 585 false null null
538 550 false null null
558 523 false null null
528 519 false null null
519 588 false null null
542 594 false null null
527 555 false null null
549 569 false null null
539 586 false null null
594 554 false null null
512 582 false null null
578 501 false null null
578 595 false null null
581 598 false null null
517 563 false null null
560 511 false null null
568 572 false null null
596 593 false null null
536 529 false null null
582 563 false null null
508 521 false null null
513 589 false null null
581 584 false null null
584 599 false null null
582 547 false null null
530 537 false null null
594 598 false null null
524 556 false null null
575 555 false null null
588 597 false null null
592 555 false null null
553 540 false null null
584 596 false null null
548 593 false null null
583 579 false null null
535 554 false null null
543 569 false null null
584 588 false null null
518 566 false null null
528 525 false null null
526 532 false null null
543 576 false null null
585 587 false null null
557 500 false null null
574 592 false null null
532 580 false null null
570 520 false null null
591 573 false null null
573 556 false null null
589 505 false null null
568 560 false null null
582 519 false null null
561 592 false null null
557 598 false null null
546 515 false null null
591 586 false null null
598 503 false null null
573 517 false null null
581 541 false null null
566 565 false null null
552 594 false null null
587 530 false null null
550 517 false null null
581 547 false null null
552 506 false null null
599 588 false null null
568 516 false null null
597 507 false null null
508 588 false null null
549 593 false null null
581 597 false null null
557 509 false null null
595 558 false null null
500 571 false null null
554 577 false null null
574 567 false null null
531 595 false null null
522 593 false null null
563 508 false null null
556 506 false null null
545 534 false null null
533 595 false null null
554 569 false null null
596 513 false null null
512 597 false null null
588 545 false null null
511 598 false null null
501 586 false null null
577 579 false null null
565 526 false null null
551 515 false null null
516 592 false null null
522 591 false null null
549 528 false null null
583 592 false null null
590 580 false null null
572 534 false null null
512 533 false null null
544 548 false null null
598 578 false null null
559 574 false null null
509 590 false null null
585 591 false null null
577 567 false null null
520 510 false null null
546 590 false null null
509 575 false null null
577 505 false null null
550 599 false null null
589 590 false null null
514 531 false null null
598 571 false null null
592 590 false null null
588 559 false null null
570 538 false null null
524 570 false null null
549 599 false null null
542 575 false null null
500 580 false null null
518 585 false null null
523 561 false null null
591 580 false null null
516 591 false null null
514 596 false null null
579 566 false null null
505 578 false null null
553 589 false null null
583 564 false null null
537 541 false null null
544 597 false null null
594 586 false null null
510 546 false null null
587 579 false null null
558 569 false null null
559 562 false null null
562 598 false null null
502 576 false null null
503 538 false null null
597 596 false null null
589 576 false null null
537 587 false null null
550 551 false null null
523 552 false null null
572 541 false null null
547 507 false null null
545 560 false null null
539 515 false null null
593 587 false null null
578 503 false null null
591 540 false null null
593 506 false null null
557 599 false null null
547 595 false null null
571 531 false null null
594 583 false null null
534 504 false null null
562 565 false null null
544 598 false null null
543 573 false null null
504 507 false null null
579 569 false null null
571 597 false null null
587 580 false null null
599 525 false null null
570 599 false null null
596 563 false null null
598 530 false null null
562 552 false null null
518 576 false null null
514 586 false null null
586 596 false null null
564 532 false null null
583 596 false null null
540 565 false null null
527 597 false null null
573 558 false null null
556 502 false null null
EndNetwork
Network 6 100 214 null
InDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
OutDegree avgK:0.0 avgK2:0.0 [100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
UndirectedDegree avgK:4.28 avgK2:21.26 [0, 0, 0, 47, 22, 12, 7, 5, 3, 2, 2]
Nodes
600 601 602 603 604 605 606 607 608 609 610 611 612 613 614 615 616 617 618 619 620 
621 622 623 624 625 626 627 628 629 630 631 632 633 634 635 636 637 638 639 640 
641 642 643 644 645 646 647 648 649 650 651 652 653 654 655 656 657 658 659 660 
661 662 663 664 665 666 667 668 669 670 671 672 673 674 675 676 677 678 679 680 
681 682 683 684 685 686 687 688 689 690 691 692 693 694 695 696 697 698 699 
Links
664 657 false null null
635 660 false null null
606 644 false null null
672 655 false null null
699 644 false null null
661 626 false null null
695 689 false null null
678 668 false null null
634 648 false null null
640 682 false null null
668 672 false null null
652 658 false null null
693 659 false null null
623 677 false null null
665 639 false null null
650 659 false null null
673 625 false null null
699 690 false null null
676 694 false null null
698 692 false null null
612 669 false null null
604 645 false null null
637 686 false null null
693 626 false null null
671 685 false null null
696 606 false null null
630 620 false null null
608 621 false null null
673 665 false null null
675 607 false null null
628 687 false null null
697 623 false null null
699 646 false null null
630 686 false null null
687 613 false null null
646 631 false null null
695 667 false null null
684 651 false null null
666 642 false null null
699 614 false null null
655 686 false null null
669 652 false null null
679 668 false null null
624 639 false null null
619 637 false null null
679 696 false null null
607 636 false null null
638 675 false null null
676 610 false null null
699 625 false null null
657 629 false null null
693 685 false null null
605 649 false null null
674 602 false null null
688 637 false null null
659 632 false null null
673 656 false null null
631 652 false null null
689 663 false null null
690 689 false null null
650 691 false null null
618 693 false null null
679 669 false null null
663 692 false null null
650 604 false null null
660 620 false null null
674 677 false null null
686 618 false null null
608 649 false null null
675 622 false null null
668 691 false null null
690 676 false null null
661 685 false null null
691 689 false null null
622 692 false null null
621 602 false null null
683 629 false null null
680 662 false null null
689 694 false null null
689 664 false null null
669 675 false null null
677 678 false null null
693 605 false null null
653 641 false null null
636 696 false null null
653 616 false null null
678 600 false null null
602 698 false null null
627 605 false null null
696 661 false null null
642 670 false null null
671 698 false null null
698 685 false null null
611 629 false null null
682 662 false null null
666 654 false null null
663 627 false null null
624 670 false null null
678 694 false null null
656 692 false null null
617 681 false null null
697 680 false null null
611 665 false null null
628 677 false null null
670 680 false null null
614 695 false null null
601 687 false null null
638 648 false null null
688 643 false null null
632 646 false null null
681 695 false null null
656 603 false null null
650 628 false null null
667 684 false null null
696 610 false null null
608 697 false null null
656 696 false null null
603 699 false null null
688 601 false null null
693 644 false null null
600 606 false null null
699 697 false null null
630 664 false null null
655 617 false null null
683 647 false null null
649 698 false null null
674 692 false null null
673 654 false null null
643 687 false null null
616 641 false null null
679 662 false null null
681 682 false null null
613 635 false null null
684 698 false null null
635 603 false null null
691 647 false null null
677 698 false null null
652 687 false null null
696 690 false null null
682 694 false null null
695 618 false null null
681 698 false null null
683 694 false null null
645 640 false null null
673 692 false null null
690 647 false null null
661 690 false null null
693 657 false null null
698 688 false null null
672 662 false null null
694 648 false null null
638 684 false null null
607 612 false null null
688 615 false null null
647 651 false null null
697 601 false null null
694 695 false null null
667 619 false null null
632 696 false null null
678 666 false null null
667 633 false null null
660 649 false null null
610 684 false null null
696 692 false null null
672 691 false null null
648 689 false null null
642 623 false null null
665 626 false null null
681 674 false null null
617 697 false null null
671 676 false null null
694 640 false null null
699 658 false null null
682 666 false null null
613 671 false null null
636 645 false null null
688 639 false null null
654 681 false null null
670 633 false null null
686 693 false null null
695 698 false null null
674 683 false null null
619 680 false null null
615 631 false null null
655 612 false null null
